Artist1,Artist2,weight,isConnected
Eleonora,Feyln,0,False
JAY-Z,NEFFEX,0,False
KYLE,Lil Yachty,2,True
Benjazzy,Keith Urban,0,False
Bill Medley,Ohana Bam,0,False
Lil Yachty,Shelley FKA DRAM,1,True
E-40,Queen,0,False
Ivy Adara,Trippie Redd,0,False
Becky G,Kimberg,0,False
Chanel West Coast,Lizzo,0,False
Giveon,Luca Testa,0,False
Kosling,YFN Lucci,0,False
Arash Shadram,Coeus,1,True
Mako,kiki vivi lily,0,False
SIRUP,kiki vivi lily,1,True
Gary Barlow,MONY HORSE,0,False
Bryan Adams,Melanie C,1,True
James Morrison,Nelly Furtado,1,True
Chris Young,G-Eazy,0,False
Macklemore,Ryan Lewis,1,True
Rebecca Naomi Jones,The American Idiot Broadway Company,1,True
Charlie Puth,Wiz Khalifa,1,True
BoA,Trey Songz,0,False
Domeno,Karl Sylver,1,True
Street Money Boochie,"Tyler, The Creator",0,False
Cazzu,H.E.R.,0,False
HALIENE,ISH-ONE,0,False
DJ Luian,Nicky Jam,1,True
Kane Brown,Troye Sivan,0,False
JAY-Z,Kevin McCall,0,False
A$AP Ferg,ScHoolboy Q,2,True
Caslow,Nick Ledesma,1,True
Jhené Aiko,The Pogues,0,False
DE DE MOUSE,The Neptunes,0,False
Eleonora,MFS,0,False
ASOBOiSM,MIYACHI,0,False
Justin Bieber,The Kid LAROI,1,True
Aaliyah,Tom Jones,0,False
Future,Maroon 5,0,False
G-Eazy,Lionel Richie,0,False
Emeli Sandé,Labrinth,1,True
MONY HORSE,Oh Wonder,0,False
Green Day,John Gallagher Jr.,1,True
JAY-Z,Kanye West,1,True
Chris Brown,Usher,2,True
East 17,Kendrick Lamar,0,False
Electus,Mambo Kingz,0,False
Bibiane Z,The Kid LAROI,0,False
Britney Spears,Into The Ether,0,False
Gambitt,Hundred Waters,0,False
Lil Baby,PnB Rock,0,False
Paula Abdul,The Wild Pair,1,True
Drake,Roy Woods,1,True
KEIJU,Robbie Rosen,0,False
BTS,Coldplay,1,True
BullySongs,Elaine Paige,0,False
East 17,Nurko,0,False
Trippie Redd,iann dior,1,True
DJ SpinKing,East 17,0,False
BJ The Chicago Kid,kiki vivi lily,0,False
Drake,Lil Wayne,2,True
Adrenalize,Lil Nas X,0,False
Hal David,Markéta Irglová,0,False
DJ SpinKing,Mary J. Blige,0,False
AmanderSings,James Arthur,0,False
Chris Brown,T.I.,0,False
Barbra Streisand,Ohana Bam,0,False
Chance the Rapper,Macklemore,1,True
Drake,Gucci Mane,1,True
Awakend,Matthew Steeper,0,False
Keith Urban,P!nk,1,True
Kevin Flum,Lionel Richie,0,False
Gucci Mane,Offset,1,True
Khalid,Post Malone,1,True
Jennifer Warnes,Joe Cocker,1,True
A$AP Ferg,A$AP Rocky,2,True
Alessia Labate,Roy Woods,0,False
JRL,Trey Songz,0,False
Josh Bogert,Leon Fanourakis,0,False
Summer Walker,Trevor Daniel,1,True
Doja Cat,J. Cole,0,False
Justin Bieber,KEIJU,0,False
Darren Styles,G-Eazy,0,False
Sephyx,The Chainsmokers,1,True
NAV,The Weeknd,1,True
Nezumi Coo,Peach Boi,1,True
Jason Mraz,Masaaki Hirao,0,False
A$AP Ferg,French Montana,2,True
Yosuke Nakano,yobai suspects,1,True
Luca,Trey Songz,0,False
LAGHEADS,Ludacris,0,False
SPARTA,T.I.,0,False
Anuel AA,Brytiago,1,True
Leon Fanourakis,SPARTA,1,True
Britney Spears,Madonna,1,True
Adrenalize,Pulse,1,True
Barbra Streisand,kiki vivi lily,0,False
Lil Uzi Vert,Oh Wonder,1,True
HALIENE,Stark Sands,0,False
Feid,Lenny Tavárez,1,True
Hugh Kim,The Chainsmokers,0,False
DJ Drama,Trey Songz,1,True
Tate McRae,Troye Sivan,1,True
Lasso the Sun,Lionel Richie,0,False
EMEL,Stonebank,1,True
Khalid,Stark Sands,0,False
Stormerz,Tom Leinad,1,True
Mambo Kingz,Prince Royce,1,True
Anderson .Paak,Ty Dolla $ign,1,True
Khalid,Lorde,1,True
Chris Brown,Kevin McCall,1,True
Chance the Rapper,Macklemore & Ryan Lewis,1,True
PnB Rock,YFN Lucci,2,True
Eminem,Nate Dogg,1,True
Ansel Elgort,Dave Stewart,0,False
CHRNS,Rich Edwards,1,True
Gotye,Lil Yachty,0,False
Khalid,YoungBoy Never Broke Again,0,False
Calvin Harris,Khalid,1,True
Brytiago,Mambo Kingz,1,True
Rich Homie Quan,Young Thug,1,True
BUMKEY,MIYACHI,1,True
AKLO,KEIJU,1,True
Freddie Mercury,Robbie Williams,0,False
CMA,Stunna Gambino,0,False
Flaremode,Thomas Gold,1,True
Eurielle,Quality Control,1,True
Anderson .Paak,Spooks,0,False
Daichi Yamamoto,Yaffle,1,True
Arash Shadram,Sting,0,False
BullySongs,Chanel West Coast,0,False
Kane Brown,blackbear,1,True
Chance the Rapper,Skrillex,1,True
Kirsty MacColl,The Pogues,1,True
Mitchell Niemeyer,The Partysquad,1,True
Duke,Young Thug,1,True
Eminem,Peabo Bryson,0,False
Billy Idol,iann dior,0,False
A$AP Rocky,Barbra Streisand,0,False
Aaliyah,Chris Brown,1,True
Billy J. Kramer,The Dakotas,2,True
Kap G,Quavo,1,True
Drake,Kendrick Lamar,1,True
Ricky Martin,guardin,0,False
Carrie Underwood,Jason Aldean,1,True
Gucci Mane,Lil Wayne,1,True
D-Stroyer,Mondo Grosso,0,False
Jason Ross,Justin Bieber,0,False
